CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K27ac | Roadmap
T_Lymphocyte_Blood | H3K4me1 | ID:3684
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:56012
T_Lymphocyte_Blood | H3K36me3 | ID:36419
T_Lymphocyte_Blood | DNase | ID:40970
T_Lymphocyte_Blood | H3K4me1 | ID:42133
Th1 | H3K27ac | ID:62340
T_Lymphocyte_Tonsil | H3K27ac | ID:52309
CD4_Memory_Primary_Cells | H3K36me3 | Roadmap
CD4_Naive_Primary_Cells | H3K27ac | Roadmap
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:69294
T_Lymphocyte_Blood | H3K27ac | ID:58701
GM12878_B_Lymphocyte_Blood | POLR2A | ID:45657
GM12878_B_Lymphocyte_Blood | POLR2A | ID:45659
Monocyte_Blood | H3K27ac | ID:41292
Raji_B_Lymphocyte_Blood | POLR2A | ID:70948
T_Lymphocyte_Blood | H3K27ac | ID:44104
GM12878_B_Lymphocyte_Blood | ZMYM3 | ID:74652
GM12878_B_Lymphocyte_Blood | H3K9ac | ID:45209
T_Lymphocyte | H3K4me1 | ID:8150
T_Lymphocyte_Blood | H3K27ac | ID:36459
Monocytes-CD14+_RO01746 | DNase | ENCODE
Raji_B_Lymphocyte_Blood | POLR2A | ID:70963
T_Lymphocyte_Blood | H3K27ac | ID:44045
CD4+_CD25_IL17_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells | H3K36me3 | Roadmap
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5008
T_Lymphocyte_Blood | H3K4me1 | ID:36420
T_Lymphocyte_Blood | H3K4me3 | ID:58706
T_Lymphocyte_Blood | DNase | ID:3172
GM12878_B_Lymphocyte_Blood | ZNF143 | ID:64894
CD8_Memory_Primary_Cells | H3K36me3 | Roadmap
CD8_Memory_Primary_Cells | H3K27ac | Roadmap
T_Lymphocyte_Blood | H4K16ac | ID:4099
T_Lymphocyte_Blood | H3K4me3 | ID:58764
T_Lymphocyte | H3K4me1 | ID:8130
B_Lymphocyte_Blood | POLR2A | ID:33439
T_Lymphocyte_Blood | H3K4me1 | ID:44042
GM12878_B_Lymphocyte_Blood | DNase | ID:40763
T_Lymphocyte_Blood | H3K4me3 | ID:58749
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43128
Natural_Killer_Cell_Blood | H3K27ac | ID:44049
Jurkat_E6-1_T_Lymphocyte_Blood | POLR2A | ID:44235
Raji_B_Lymphocyte_Blood | POLR2A | ID:81321
T_Lymphocyte_Blood | H3K27ac | ID:58659
Th2 | DNase | ENCODE
T_Lymphocyte_Blood | H3K4me3 | ID:58714
T_Lymphocyte_Blood | H3K4me1 | ID:39935
Raji_B_Lymphocyte_Blood | POLR2A | ID:70957
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49515
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:42285
GM06990_B_Lymphocyte_Blood | H3K36me3 | ID:45201
GM12878_B_Lymphocyte_Blood | POLR2A | ID:2102
U937_Monocyte | ZNF143 | ID:72553
Monocyte_Blood | H3K27ac | ID:36159
T_Lymphocyte_Blood | H3K4me3 | ID:58722
T_Lymphocyte_Blood | H3K4me1 | ID:8161
T_Lymphocyte_Blood | H3K4me1 | ID:8205
