CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K27ac | Roadmap
T_Lymphocyte_Blood | H3K4me1 | ID:3684
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:56012
T_Lymphocyte_Blood | H3K36me3 | ID:36419
T_Lymphocyte_Blood | DNase | ID:40970
Th1 | H3K27ac | ID:62340
T_Lymphocyte_Blood | H3K4me1 | ID:42133
T_Lymphocyte_Tonsil | H3K27ac | ID:52309
CD4_Memory_Primary_Cells | H3K36me3 | Roadmap
CD4_Naive_Primary_Cells | H3K27ac | Roadmap
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:69294
T_Lymphocyte_Blood | H3K27ac | ID:58701
GM12878_B_Lymphocyte_Blood | POLR2A | ID:45657
GM12878_B_Lymphocyte_Blood | POLR2A | ID:45659
Monocyte_Blood | H3K27ac | ID:41292
Raji_B_Lymphocyte_Blood | POLR2A | ID:70948
T_Lymphocyte_Blood | H3K27ac | ID:44104
GM12878_B_Lymphocyte_Blood | ZMYM3 | ID:74652
GM12878_B_Lymphocyte_Blood | H3K9ac | ID:45209
T_Lymphocyte_Blood | H3K27ac | ID:36459
T_Lymphocyte | H3K4me1 | ID:8150
Monocytes-CD14+_RO01746 | DNase | ENCODE
Raji_B_Lymphocyte_Blood | POLR2A | ID:70963
T_Lymphocyte_Blood | H3K27ac | ID:44045
CD4+_CD25_IL17_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells | H3K36me3 | Roadmap
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5008
T_Lymphocyte_Blood | DNase | ID:3172
T_Lymphocyte_Blood | H3K4me1 | ID:36420
T_Lymphocyte_Blood | H3K4me3 | ID:58706
GM12878_B_Lymphocyte_Blood | ZNF143 | ID:64894
CD8_Memory_Primary_Cells | H3K36me3 | Roadmap
CD8_Memory_Primary_Cells | H3K27ac | Roadmap
B_Lymphocyte_Blood | POLR2A | ID:33439
T_Lymphocyte_Blood | H4K16ac | ID:4099
T_Lymphocyte_Blood | H3K4me3 | ID:58764
T_Lymphocyte | H3K4me1 | ID:8130
T_Lymphocyte_Blood | H3K4me1 | ID:44042
GM12878_B_Lymphocyte_Blood | DNase | ID:40763
T_Lymphocyte_Blood | H3K4me3 | ID:58749
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43128
Natural_Killer_Cell_Blood | H3K27ac | ID:44049
Jurkat_E6-1_T_Lymphocyte_Blood | POLR2A | ID:44235
Raji_B_Lymphocyte_Blood | POLR2A | ID:81321
T_Lymphocyte_Blood | H3K27ac | ID:58659
Th2 | DNase | ENCODE
T_Lymphocyte_Blood | H3K4me3 | ID:58714
T_Lymphocyte_Blood | H3K4me1 | ID:39935
Raji_B_Lymphocyte_Blood | POLR2A | ID:70957
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49515
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:42285
GM12878_B_Lymphocyte_Blood | POLR2A | ID:2102
GM06990_B_Lymphocyte_Blood | H3K36me3 | ID:45201
U937_Monocyte | ZNF143 | ID:72553
T_Lymphocyte_Blood | H3K4me1 | ID:8161
T_Lymphocyte_Blood | H3K4me3 | ID:58722
T_Lymphocyte_Blood | H3K4me1 | ID:8201
T_Lymphocyte_Blood | H3K4me1 | ID:8205
T_Lymphocyte_Blood | H3K27ac | ID:56923
KB_Cell_Epithelium_HeLa_contaminant | SPI1 | ID:50878
Monocyte_Blood | H3K27ac | ID:36159
Raji_B_Lymphocyte_Blood | POLR2A | ID:46027
T_Lymphocyte_Blood | H3K4me1 | ID:8127
T_Lymphocyte_Blood | H3K4me1 | ID:8249
GM12878_B_Lymphocyte_Blood | H3K9ac | ID:36652
Natural_Killer_Cell_Blood | H3K27ac | ID:44048
T_Lymphocyte_Blood | H3K27ac | ID:6695
T_Lymphocyte_Blood | H3K4me1 | ID:36428
MM1.S_B_Lymphocyte_Blood | H3K27me3 | ID:43093
T_Lymphocyte_Blood | H3K4me1 | ID:44038
Raji_B_Lymphocyte_Blood | H3K27ac | ID:48518
OCI-Ly7_B_cell_lymphoma_Blood | H3K79me2 | ID:63352
T_Lymphocyte_Blood | H3K4me1 | ID:8261
GM12878_B_Lymphocyte_Blood | H3K9ac | ID:36607
T_Lymphocyte | H3K27ac | ID:8252
Natural_Killer_Cell_Blood | H3K4me1 | ID:44047
T_Lymphocyte_Blood | H3K4me1 | ID:8137
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:42284
Jurkat_E6-1_T_Lymphocyte_Blood | POLR2A | ID:44237
T_Lymphocyte | H3K27ac | ID:57164
SEM_B_Lymphocyte | PAF1 | ID:73697
aTconv_T_Lymphocyte_Blood | H3K4me1 | ID:268
T_Lymphocyte_Blood | H3K4me3 | ID:58739
CD4+_CD25int_CD127+_Tmem_Primary_Cells | H3K36me3 | Roadmap
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:56011
T_Lymphocyte_Blood | POLR2A | ID:4459
T_Lymphocyte_Blood | H3K4me3 | ID:58707
Monocyte_Blood | H3K27ac | ID:66475
T_Lymphocyte_Blood | H3K27ac | ID:44110
WSU-DLCL2_B_Lymphocyte_Lymph_Node | H3K27me3 | ID:40317
T_Lymphocyte_Blood | H3K36me3 | ID:38138
T_Lymphocyte_Blood | H3K4me3 | ID:58746
T_Lymphocyte_Blood | H3K4me3 | ID:58724
T_Lymphocyte_Blood | H3K27ac | ID:49185
T_Lymphocyte_Blood | H3K4me2 | ID:47983
T_Lymphocyte_Blood | H3K27ac | ID:44040
T_Lymphocyte_Blood | H3K27ac | ID:58652
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:56013
Th1 | POLR2A | ID:72420
T_Lymphocyte | H3K4me1 | ID:8366
CD4_Naive_Primary_Cells | H3K36me3 | Roadmap
T_Lymphocyte_Blood | H3K27ac | ID:58686
T_Lymphocyte_Blood | H3K4me3 | ID:58709
T_Lymphocyte_Blood | H3K4me1 | ID:44043
Monocyte_Blood | H3K27ac | ID:41293
Monocyte_Blood | H3K27ac | ID:41294
T_Lymphocyte_Blood | H3K27ac | ID:44112
T_Lymphocyte_Blood | H3K4me3 | ID:58715
THP-1_AML_cell | H3K79me2 | ID:73447
Raji_B_Lymphocyte_Blood | H3K27ac | ID:70961
T_Lymphocyte_Blood | H3K4me3 | ID:36451
Th17_Tonsil | H3K27ac | ID:62350
T_Lymphocyte_Blood | H3K27ac | ID:44082
GM12878_B_Lymphocyte_Blood | H3K4me1 | ID:36581
KB_Cell_Epithelium_HeLa_contaminant | SPI1 | ID:50879
T_Lymphocyte_Blood | POLR2A | ID:4453
B_Lymphocyte_Blood | H3K27ac | ID:45182
Th1 | T | ID:69884
T_Lymphocyte_Blood | H3K4me3 | ID:58731
KOPT-K1_T_Lymphocyte_Blood | H3K4me1 | ID:43753
P493-6_B_cell_lymphoma | POLR2A | ID:33193
T_Lymphocyte_Blood | H3K9me1 | ID:4006
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43126
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49513
B_cell_precursor | IKZF1 | ID:73237
Fetal_Thymus | DNase | Roadmap
T_Lymphocyte_Blood | H3K4me3 | ID:58729
T_Lymphocyte_Blood | H3K4me3 | ID:58728
CD4+_CD25_IL17_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells | H3K4me3 | Roadmap
GM12878_B_Lymphocyte_Blood | ZEB1 | ID:46139
T_Lymphocyte_Blood | H3K27ac | ID:58682
B_cell_precursor | IKZF1 | ID:73238
Raji_B_Lymphocyte_Blood | POLR2A | ID:33471
T_Lymphocyte_Blood | H3K4me1 | ID:8146
B_Lymphocyte_Spleen | H3K4me1 | ID:37695
B_Lymphocyte | DNase | ID:40978
B_Lymphocyte | H3K4me2 | ID:72776
Monocyte | H3K4me3 | ID:51784
T_Lymphocyte_Blood | H3K4me3 | ID:58737
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49512
T_Lymphocyte_Blood | H3K4me1 | ID:49187
Th17_Tonsil | ATAC-seq | ID:61554
T_Lymphocyte_Blood | H3K4me3 | ID:58753
Monocyte_Blood | H3K27ac | ID:66415
T_Lymphocyte_Tonsil | H3K27ac | ID:52310
B_Lymphocyte | H3K27ac | ID:66709
T_Lymphocyte_Blood | H3K27ac | ID:44105
GM12864_B_Lymphocyte_Blood | H3K4me3 | ID:45202
GM12878_B_Lymphocyte_Blood | ELF1 | ID:46127
T_Lymphocyte_Blood | H3K4me3 | ID:58745
T_Lymphocyte_Blood | H3K27ac | ID:58674
Activated_Treg | H3K27ac | ID:57152
Th2 | MAF | ID:58809
Granulocyte_Blood | H3K4me2 | ID:75075
Natural_Killer_Cell_Blood | H3K4me1 | ID:44046
T_Lymphocyte_Blood | H3K4me3 | ID:58752
iPS-20b_Cell_Line | H3K36me3 | Roadmap
Jurkat_T_Lymphocyte_Blood | H3K4me2 | ID:74131
Natural_Killer_Cell_Blood | DNase | ID:40399
T_Lymphocyte_Blood | DNase | ID:3115
CD4+_CD25_CD45RO+_Memory_Primary_Cells | H3K9me3 | Roadmap
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | POLR2A | ID:35522
T_Lymphocyte | H3K4me1 | ID:8209
Monocyte_Blood | H3K27ac | ID:66433
T_Lymphocyte_Blood | H3K27ac | ID:58693
Jurkat_T_Lymphocyte_Blood | H3K4me2 | ID:74134
T_Lymphocyte_Blood | H3K4me3 | ID:58734
T_Lymphocyte_Cord_blood | DNase | ID:40699
P493-6_B_cell_lymphoma | POLR2A | ID:48780
T_Lymphocyte_Blood | H3K4me1 | ID:44039
B_Lymphocyte_Blood | H3K4me1 | ID:44034
T_Lymphocyte_Blood | H3K27ac | ID:58675
Plasmablast | H3K27ac | ID:57011
Natural_Killer_Cell_Blood | DNase | ID:3123
T_Lymphocyte_Blood | H3K4me3 | ID:58735
T_Lymphocyte_Blood | DNase | ID:3092
Th1 | POLR2A | ID:72424
T_Lymphocyte_Blood | H3K4me3 | ID:58751
CD4_Naive_Primary_Cells | H3K9ac | Roadmap
B_cell_precursor | IKZF1 | ID:73236
T_Lymphocyte_Blood | H3K4me3 | ID:58730
T_Lymphocyte_Tonsil | H3K4me1 | ID:52305
T_Lymphocyte_Blood | H3K27ac | ID:58653
Akata_B_Lymphocyte | ZTA | ID:52241
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K4me3 | Roadmap
KB_Cell_Epithelium_HeLa_contaminant | SPI1 | ID:50877
Th2 | POLR2A | ID:72417
T_Lymphocyte_Blood | DNase | ID:3173
T_Lymphocyte_Blood | H3K27ac | ID:36434
GM12878_B_Lymphocyte_Blood | SIN3A | ID:45639
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5005
T_Lymphocyte_Blood | H3K4me3 | ID:58726
Monocyte_Blood | H3K27ac | ID:66477
B_Lymphocyte_Blood | H3K27ac | ID:37697
T_Lymphocyte_Blood | H3K4me1 | ID:8179
GM12878_B_Lymphocyte_Blood | H3K4me2 | ID:45214
T_Lymphocyte_Blood | H3K27ac | ID:8291
SEM_B_Lymphocyte | LEO1 | ID:73696
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:42171
T_Lymphocyte_Blood | DNase | ID:40526
T_Lymphocyte_Blood | DNase | ID:40860
Monocytes-CD14+_RO01746 | H3K4me1 | Roadmap
Raji_B_Lymphocyte_Blood | H3K4me1 | ID:47800
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:36629
Monocyte_Blood | CTCF | ID:45444
Fetal_Thymus | DNase.hot | Roadmap
T_Lymphocyte_Blood | H3K27ac | ID:44041
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:55230
Monocyte_Blood | H3K27ac | ID:81423
GM12878_B_Lymphocyte_Blood | H3K4me3 | ID:55223
Jurkat_T_Lymphocyte_Blood | H3K4me2 | ID:74130
T_Lymphocyte | H3K27ac | ID:61894
B_Lymphocyte | H3K4me2 | ID:72774
Monocytes-CD14+_RO01746 | DNase | Roadmap | 1
JHU-06_Monocyte_Blood | H3K4me1 | ID:88916
Raji_B_Lymphocyte_Blood | H3K27ac | ID:85725
T_Lymphocyte_Blood | H3K27ac | ID:58666
Monocyte_Blood | H3K4me3 | ID:81987
GM12878_B_Lymphocyte_Blood | ZNF18 | ID:74653
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | H3K79me2 | ID:62872
GM12878_B_Lymphocyte_Blood | H3K4me3 | ID:45211
OCI-Ly7_B_cell_lymphoma_Blood | BCL6 | ID:39572
T_Lymphocyte_Blood | DNase | ID:40395
T_Lymphocyte_Blood | H3K27ac | ID:58696
T_Lymphocyte | H3K27ac | ID:8225
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43136
T_Lymphocyte_Blood | DNase | ID:3091
T_Lymphocyte_Blood | H3K4me3 | ID:8224
T_Lymphocyte_Blood | H3K27ac | ID:58657
T_Lymphocyte_Cord_blood | DNase | ID:3106
Fetal_Thymus | H3K27ac | ID:37693
T_Lymphocyte_Blood | DNase | ID:3148
T_Lymphocyte_Blood | H3K36me3 | ID:8169
Raji_B_Lymphocyte_Blood | POLR2A | ID:47805
DND-41_T_Lymphocyte_Blood | H3K79me2 | ID:45194
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:36626
Monocyte_Blood | H3K4me3 | ID:89055
KB_Cell_Epithelium_HeLa_contaminant | SPI1 | ID:50876
T_Lymphocyte_Blood | DNase | ID:40398
T_Lymphocyte_Blood | H3K36me3 | ID:36443
T_Lymphocyte | H3K27ac | ID:61895
T_Lymphocyte | H3K4me2 | ID:68993
T_Lymphocyte | H3K4me2 | ID:68989
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | POLR2A | ID:41477
T_Lymphocyte_Blood | DNase | ID:3147
T_Lymphocyte_Tonsil | H3K4me1 | ID:52306
Fetal_Thymus | DNase.all.peaks | Roadmap
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49499
GM12878_B_Lymphocyte_Blood | H3K4me3 | ID:45220
Raji_B_Lymphocyte_Blood | H3K27ac | ID:52789
T_Lymphocyte_Blood | DNase | ID:3143
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49514
T_Lymphocyte_Blood | H3K4me3 | ID:58710
Treg_cell | H3K4me3 | ID:68173
Monocyte_Blood | H3K4me1 | ID:88913
T_Lymphocyte_Blood | H3K4me3 | ID:58721
DND-41_T_Lymphocyte_Blood | H4K20me1 | ID:45195
Monocyte_Blood | H3K27ac | ID:66445
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49518
T_Lymphocyte_Blood | H3K4me3 | ID:8129
Monocyte_Blood | H3K27ac | ID:66476
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:45210
CUTLL1_T_Lymphocyte_Blood | H3K4me1 | ID:388
Monocyte_Blood | H3K27ac | ID:41299
T_Lymphocyte_Blood | H3K4me3 | ID:58725
Plasmablast | H3K27ac | ID:57014
GM12878_B_Lymphocyte_Blood | SREBF2 | ID:45607
GM12878_B_Lymphocyte_Blood | H3K4me3 | ID:50103
B_Lymphocyte_Blood | DNase | ID:44906
Monocyte_Blood | H3K4me3 | ID:48120
Monocyte_Blood | H3K27ac | ID:66419
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:42274
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5009
Monocyte_Blood | H3K4me3 | ID:72238
B_Lymphocyte_Spleen | DNase | ID:3138
T_Lymphocyte_Blood | H3K4me3 | ID:8262
GM12878_B_Lymphocyte_Blood | PML | ID:46143
GM12878_B_Lymphocyte_Blood | POLR2A | ID:677
T_Lymphocyte_Blood | H3K36me3 | ID:8143
Monocyte_Blood | H3K4me3 | ID:71780
T_Lymphocyte_Blood | H3K27ac | ID:58660
GM12878_B_Lymphocyte_Blood | CBFB | ID:64692
T_Lymphocyte_Blood | H3K27ac | ID:58673
B_Lymphocyte | H3K27ac | ID:55573
T_Lymphocyte_Blood | H3K27ac | ID:8182
T_Lymphocyte_Blood | H3K4me3 | ID:58733
T_Lymphocyte_Blood | YY1 | ID:5195
GM12878_B_Lymphocyte_Blood | H3K4me1 | ID:36598
GM12878_B_Lymphocyte_Blood | H3K4me1 | ID:45216
T_Lymphocyte_Blood | POLR2A | ID:38361
T_Lymphocyte_Blood | H3K27ac | ID:58694
T_Lymphocyte_Blood | DNase | ID:3146
B_Lymphocyte | H3K4me2 | ID:72778
T_Lymphocyte_Blood | H3K4me3 | ID:58723
Monocyte_Blood | H4ac | ID:82673
T_Lymphocyte_Blood | DNase | ID:40397
T_Lymphocyte_Blood | H3K4me3 | ID:38037
Th1 | POLR2A | ID:72423
Thymus | H3K27me3 | Roadmap
Monocyte_Blood | H3K4me3 | ID:72221
Monocyte_Blood | H3K4me3 | ID:85245
Monocyte_Cord_blood | KMT2A | ID:73708
Jurkat_E6-1_T_Lymphocyte_Blood | POLR2A | ID:44236
T_Lymphocyte_Blood | H3K4me3 | ID:58758
T_Lymphocyte_Blood | H3K27ac | ID:36417
T_Lymphocyte_Blood | H3K27ac | ID:58687
KOPT-K1_T_Lymphocyte_Blood | H3K36me3 | ID:43745
Raji_B_Lymphocyte_Blood | H3K27ac | ID:52790
T_Lymphocyte_Blood | DNase | ID:3142
T_Lymphocyte_Blood | DNase | ID:3132
B_cell_precursor | H3K4me3 | ID:73233
Monocyte_Blood | H3K27ac | ID:66434
Fetal_Thymus | DNase.fdr0.01.hot | Roadmap
T_Lymphocyte_Blood | H3K4me3 | ID:58741
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K4me3 | Roadmap
T_Lymphocyte_Blood | H3K27ac | ID:58680
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5010
T_Lymphocyte_Blood | H3K27ac | ID:8239
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:45207
OCI-Ly7_B_cell_lymphoma_Blood | DNase | ID:62446
Thymus | H3K27ac | ID:36929
Monocyte_Blood | H3K27ac | ID:44020
GM12878_B_Lymphocyte_Blood | MLLT1 | ID:63875
Monocyte_Blood | H3K4me3 | ID:72315
T_Lymphocyte_Blood | H3K27ac | ID:8210
T_Lymphocyte_Blood | H3K4me1 | ID:36463
GM06990_B_Lymphocyte_Blood | DNase | ID:40595
Monocyte_Blood | H3K27ac | ID:66441
B_Lymphocyte | CD74 | ID:76926
B_Lymphocyte_Tonsil | H3K27ac | ID:51710
Monocyte_Blood | H3K4me3 | ID:48112
GM12878_B_Lymphocyte_Blood | H3K4me2 | ID:36570
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5006
T_Lymphocyte | H3K4me3 | ID:69016
T_Lymphocyte_Blood | H3K4me2 | ID:47915
B_cell_precursor | H3K4me3 | ID:73232
GM12878_B_Lymphocyte_Blood | PBX3 | ID:46121
Natural_Killer_Cell_Blood | DNase | ID:3149
Monocyte_Blood | H3K27ac | ID:66439
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K4me3 | Roadmap
GM12878_B_Lymphocyte_Blood | SMAD5 | ID:63097
CAL-1_Plasmacytoid_dendritic_cell | POLR2A | ID:72350
T_Lymphocyte_Blood | H3K27ac | ID:49189
Monocyte_Blood | H3K27ac | ID:66442
Fetal_Thymus | H3K4me1 | ID:37705
Ramos_B_Lymphocyte | MYC | ID:5969
B_Lymphocyte | CD74 | ID:76930
Monocyte_Blood | H3K27ac | ID:39843
Monocyte | H3K4me3 | ID:51788
T_Lymphocyte_Blood | H3K4me3 | ID:8144
T_Lymphocyte | H3K4me3 | ID:69053
T_Lymphocyte_Blood | H3K4me3 | ID:58720
P493-6_B_cell_lymphoma | POLR2A | ID:33163
T_Lymphocyte_Blood | H3K4me3 | ID:38131
CD4_Memory_Primary_Cells | H3K9me3 | Roadmap
T_Lymphocyte_Blood | H3K4me3 | ID:58754
T_Lymphocyte_Cord_blood | DNase | ID:3105
T_Lymphocyte_Blood | DNase | ID:44910
Monocyte_Blood | H3K4me3 | ID:71779
T_Lymphocyte_Blood | H3K4me3 | ID:58742
T_Lymphocyte_Blood | H3K4me2 | ID:47914
P493-6_B_cell_lymphoma | POLR2A | ID:47552
MNC491_Monocyte | H3K4me1 | ID:49309
B_Lymphocyte | H3K27ac | ID:66710
KOPT-K1_T_Lymphocyte_Blood | H3K4me1 | ID:43746
T_Lymphocyte_Blood | DNase | ID:44909
Monocyte_Blood | H3K27ac | ID:81422
Monocyte_Blood | H3K4me3 | ID:72228
T_Lymphocyte | H3K4me2 | ID:68997
Th2 | POLR2A | ID:72421
GM12878_B_Lymphocyte_Blood | EGR1 | ID:46126
Monocytes-CD14+_RO01746 | H3K4me2 | Roadmap
B_Lymphocyte | CD74 | ID:76927
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:42173
B_cell_precursor | IKZF1 | ID:73234
SEM_B_Lymphocyte | AFF1 | ID:73712
T_Lymphocyte_Blood | DNase | ID:40890
Jurkat_T_Lymphocyte_Blood | H3K27me3 | ID:74128
Jurkat_T_Lymphocyte_Blood | H3K27ac | ID:49283
Th1 | MAF | ID:58808
GM12878_B_Lymphocyte_Blood | RELA | ID:4971
DND-41_T_Lymphocyte_Blood | H3K36me3 | ID:45188
GM12878_B_Lymphocyte_Blood | STAT5A | ID:46146
GM12878_B_Lymphocyte_Blood | SUZ12 | ID:64382
Monocyte_Blood | H4ac | ID:81420
GRANTA-519_B_Lymphocyte | H3K27ac | ID:55556
T_Lymphocyte_Blood | H3K4me3 | ID:58744
Natural_Killer_Cell_Blood | DNase | ID:3165
T_Lymphocyte_Blood | BRD4 | ID:38389
B_cell_precursor | H3K4me3 | ID:73230
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K9me3 | Roadmap
SEM_B_Lymphocyte | KDM2B | ID:73701
T_Lymphocyte | H3K4me2 | ID:69046
T_Lymphocyte_Blood | H3K4me3 | ID:58755
Thymus | H3K4me3 | Roadmap
Monocyte_Blood | H3K27ac | ID:81628
Treg_cell | H3K4me3 | ID:68172
Raji_B_Lymphocyte_Blood | H3K4me1 | ID:47799
